virtual mem: 16916,	physical mem: 20,	 value: 0
virtual mem: 62493,	physical mem: 285,	 value: 0
virtual mem: 30198,	physical mem: 758,	 value: 29
virtual mem: 53683,	physical mem: 947,	 value: 108
virtual mem: 40185,	physical mem: 1273,	 value: 0
virtual mem: 28781,	physical mem: 1389,	 value: 0
virtual mem: 24462,	physical mem: 1678,	 value: 23
virtual mem: 48399,	physical mem: 1807,	 value: 67
virtual mem: 64815,	physical mem: 2095,	 value: 75
virtual mem: 18295,	physical mem: 2423,	 value: -35
virtual mem: 12218,	physical mem: 2746,	 value: 11
virtual mem: 22760,	physical mem: 3048,	 value: 0
virtual mem: 57982,	physical mem: 3198,	 value: 56
virtual mem: 27966,	physical mem: 3390,	 value: 27
virtual mem: 54894,	physical mem: 3694,	 value: 53
virtual mem: 38929,	physical mem: 3857,	 value: 0
virtual mem: 32865,	physical mem: 4193,	 value: 0
virtual mem: 64243,	physical mem: 4595,	 value: -68
virtual mem: 2315,	physical mem: 4619,	 value: 66
virtual mem: 64454,	physical mem: 5062,	 value: 62
virtual mem: 55041,	physical mem: 5121,	 value: 0
virtual mem: 18633,	physical mem: 5577,	 value: 0
virtual mem: 14557,	physical mem: 5853,	 value: 0
virtual mem: 61006,	physical mem: 5966,	 value: 59
virtual mem: 62615,	physical mem: 407,	 value: 37
virtual mem: 7591,	physical mem: 6311,	 value: 105
virtual mem: 64747,	physical mem: 6635,	 value: 58
virtual mem: 6727,	physical mem: 6727,	 value: -111
virtual mem: 32315,	physical mem: 6971,	 value: -114
virtual mem: 60645,	physical mem: 7397,	 value: 0
virtual mem: 6308,	physical mem: 7588,	 value: 0
virtual mem: 45688,	physical mem: 7800,	 value: 0
virtual mem: 969,	physical mem: 8137,	 value: 0
virtual mem: 40891,	physical mem: 8379,	 value: -18
virtual mem: 49294,	physical mem: 8590,	 value: 48
virtual mem: 41118,	physical mem: 8862,	 value: 40
virtual mem: 21395,	physical mem: 9107,	 value: -28
virtual mem: 6091,	physical mem: 9419,	 value: -14
virtual mem: 32541,	physical mem: 9501,	 value: 0
virtual mem: 17665,	physical mem: 9729,	 value: 0
virtual mem: 3784,	physical mem: 10184,	 value: 0
virtual mem: 28718,	physical mem: 1326,	 value: 28
virtual mem: 59240,	physical mem: 10344,	 value: 0
virtual mem: 40178,	physical mem: 1266,	 value: 39
virtual mem: 60086,	physical mem: 10678,	 value: 58
virtual mem: 42252,	physical mem: 10764,	 value: 0
virtual mem: 44770,	physical mem: 11234,	 value: 43
virtual mem: 22514,	physical mem: 11506,	 value: 21
virtual mem: 3067,	physical mem: 11771,	 value: -2
virtual mem: 15757,	physical mem: 11917,	 value: 0
virtual mem: 31649,	physical mem: 12193,	 value: 0
virtual mem: 10842,	physical mem: 12378,	 value: 10
virtual mem: 43765,	physical mem: 12789,	 value: 0
virtual mem: 33405,	physical mem: 12925,	 value: 0
virtual mem: 44954,	physical mem: 13210,	 value: 43
virtual mem: 56657,	physical mem: 13393,	 value: 0
virtual mem: 5003,	physical mem: 13707,	 value: -30
virtual mem: 50227,	physical mem: 13875,	 value: 12
virtual mem: 19358,	physical mem: 14238,	 value: 18
virtual mem: 36529,	physical mem: 14513,	 value: 0
virtual mem: 10392,	physical mem: 14744,	 value: 0
virtual mem: 58882,	physical mem: 14850,	 value: 57
virtual mem: 5129,	physical mem: 15113,	 value: 0
virtual mem: 58554,	physical mem: 15546,	 value: 57
virtual mem: 58584,	physical mem: 15576,	 value: 0
virtual mem: 27444,	physical mem: 15668,	 value: 0
virtual mem: 58982,	physical mem: 14950,	 value: 57
virtual mem: 51476,	physical mem: 15892,	 value: 0
virtual mem: 6796,	physical mem: 6796,	 value: 0
virtual mem: 21311,	physical mem: 9023,	 value: -49
virtual mem: 30705,	physical mem: 16369,	 value: 0
